label,text
0,"Nabasa ko to kahapon tapos di syempre kinabukasan na ngaun diba tapos maganda naman sya maganda naman yung araw ko today maganda yung kinabukasan ko kasi kumuha ng cake yung nanay ko kaninang umaga tapos maganda yung weather makulimlim, di maulan pero malamig tapos masarap yung ulam namin kanina so maganda naman sya, di ko gets"
0,hi guys it's me your girl ( baby's crying in the background ) te yung kapatid ko jumijiyak  gusto ko lang ayy jusko gusto ko lang naman sabihin na gusto ko lang naman sabihin na wala na kong maisip itiktok wala ba kayong isusuggest daz?
0,uhmmm hi ! pwede ka ba sa feb 14? shit  nakakahiya gusto ko lang gusto ko lang naman kasi ng kasungtukan pwede ka ba ?  ahhh malaki katawan ko ? suntukan lang eh damot edi dont edi dont edi dont 
0,hi guys may nakita kong sa tiktok fake laugh try naten haha haha haha nag toothbrush naman ako bat ganun ? hahahahaha
0,"so ang tanong mag kaiba ba ang segue o segway 
so yung unang segue ang ibig niyang sabihin yan yung papalitan mo yung topic or mag transition ka ng hindi nahahalata halimbawa hoy ang ganda baka namang pwede niyo ko samahan parang sumegway ka dun sa topic pero hindi yun yung topic shuggggg segue . pero ano naman yung yung segway na iba yung spelling isa siyang brand guys so segway ay isang brand eto yun alam mo yan yung vrooom vrooom na ginagamet ng mga tao segway ang tawag jan . so ang tamang spelling ng segue kung ang ibig sabihin mo ay pazhooom na pasugue ako sa pinag uusapan . brand yung isa ."
0,ano ang ibig sabihin ng been there done that . been there done that isa tong expressions na ginagamet naten pag gusto naten sabihin na hmmm alam ko na yan nangyare na yan saken di niyo ko maloloko gets ko na yan alam na alam ko na yan hahaha been there done that
0,ano ang ibig sabihin ng self deprecating? Ng self deprecating ay isang adjective na tumutukoy sa pamamaliit naten sa sarili naten halimbawa self deprecating joke ibig niyan sabihin ay isang joke na pinag tatawanan mo binababa mo minamaliit mo yung sarili mo . ang galing mo nga sa english di ka naman magaling sa math minsan nakakatuwa ang self deprecating humor pero huwag na lang naten gawin kasi kailangan tayo ang number 1 fan ng sarili naten go ayn ! go kahit di ka magaling sa math self deprecating humor nanaman self deprecating joke nanaman
0,"paulet ulet niyo bang ginagamet ang amazing sa essay at assignment ninyo . bibigyan ko kayo ng ibang salita para ipalit jan sa amazing na yan kung simple lang ang gusto niyong sabihin pwede niyong gamitin ang wonderful ,  incredible , remarkable , marvelous , spectacular. pag amazing nakakagulat astonishing, astounding , bewildering , stunning , kapag amazing naman na sobrang ganfa breathtaking , stunning , awe inspiring kapag amazing naman na nakakalito mapapa isip ka talaga ng malalim pwede naten sabihin perplexing, or stupefying kaya sa susunod na speech o essay na gagawin ninyo wag ng paulet ulet sa amazing  okey?! you have so many option youre welcome!  save this video comment below kung ano pa ang gusto niyo "
0,ano ang english na expression na sinabe mo pa ? simple lang ang sagot dito tell me about tell me about it for example ang init naman ng panahon ngayon ? oo nga eh so tell me about it 
0,so ano ba ang english ng ano ulam niyo ang literal na translation ng ulam ay viand pero ginagamet ba naten ito vian sa tipikal na english conversation hindi ang ulam ay isang napaka pinoy na konsepto so hindi siya madalas ginagamet sa english speaking  countries kasi saten pag sinabe naten ulam pinapares sa kanin pero sa ibang bansa hindi naman kadalasan nag hahanap ng ipapares sa kanin hindi staple food ang kanin sa kanila di katulad saten na araw araw kanin kanin so meron tayong salita para sa ulam so ngayon kung gusto mo tanungin kung ano pagkaen nila o ulam nila pwede naten sabihin na maiintindihan ng ibang tao foreigners ay what are you having for dinner ? what are you having for lunch ? what are u having for breakfast? what are you eating now? what did u eat ? kahit ano man yang gusto mong sabihin tanong mo lang anong kinaen mo ?
